regi,plate,year,make,owner,gvw
14418391,81602P,2018,FREIGHTLIN,MITSUBISHI HC CAPITAL CANAD,47000
14423115,82078P,2024,VOLVO,CANADIAN WESTERN BANK LEASI,47000
14440590,81613P,2019,MACK,DAIMLER TRUCK FINANCIAL SER,47000
14440651,81614P,2019,VOLVO,TPINE LEASING CAPITAL CORPO,47000
14451489,,2021,FREIGHTLIN,,
14452618,,2019,INTERNATNA,,
14570070,85009P,2023,FREIGHTLIN,INERTIA CARRIER LTD.,47000
14596660,85665P,2024,VOLVO,INERTIA CARRIER LTD.,47000
14596661,85663P,2024,VOLVO,INERTIA CARRIER LTD.,47000
14596662,85664P,2024,VOLVO,INERTIA CARRIER LTD.,47000
14622020,85641P,2024,VOLVO,VFS CANADA INC.,47000
14622021,85643P,2024,VOLVO,VFS CANADA INC.,47000
14622022,85642P,2024,VOLVO,VFS CANADA INC.,47000
14632306,86254P,2025,VOLVO,VFS CANADA INC.,47000
14632307,86140P,2025,VOLVO,VFS CANADA INC.,47000
14632308,86253P,2025,VOLVO,VFS CANADA INC.,47000
14632309,86141P,2024,VOLVO,VFS CANADA INC.,47000
14658689,86827P,2020,VOLVO,BENNINGTON FINANCIAL CORP.,47000
14684266,,2019,VOLVO,,
14725500,86856P,2017,VOLVO,TFG FINANCIAL CORPORATION,47000
14812338,88275P,2024,FREIGHTLIN,INERTIA CARRIER LTD.,47000
14818081,89234P,2019,FREIGHTLIN,INERTIA CARRIER LTD.,47000
